Tipo de Propiedad,Sector,Total construido,Precio,Referencia,Dormitorios,Baños,Antiguedad,Superficie,Ambientes,24 Hours Security,Alcantarillado,Parqueadero fijo,Seguridad 24Hs,Expensas,Fecha de entrega,Fecha
Casa,Nayón - Tanda,160 m²,USD227.615,TANDA,3,2,En Construcción,72 m²,4,,,,,,Marzo 2022,05-04-2022
Casa,Cumbayá,430 m²,USD525.000,"Sector Colegio Alemán, Urbanización Florencia",3,3,17,600 m²,4,,,,,,,05-04-2022
Terreno,Iñaquito Alto,,USD1.300.000,Eloy Alfaro,,,,968 m²,,No,No,,,,,05-04-2022
Casa,El Bosque,432 m²,USD390.000,Subida al Centro Comercial El Bosque,4,4,25,350 m²,6,,,,,,,05-04-2022
Quinta,Tumbaco,200 m²,USD449.500,Tumbaco,3,2,A Estrenar,3100 m²,4,,,,,,,05-04-2022
Terreno,Puembo,,USD435.000,Urbanización Arrayanes,,,,1160 m²,,No,No,,,,,05-04-2022
Departamento,Cumbayá,221 m²,USD350.000,Santa Lucía Alta,3,4,3,,,,,,,,,05-04-2022
Departamento,Cumbayá,153 m²,USD218.000,San Juan Alto,3,3,A Estrenar,,5,,,,,,,05-04-2022
Casa,Nayón - Tanda,160 m²,USD223.647,Tanda,3,3,En Construcción,61 m²,4,,,,,,Marzo 2022,05-04-2022
Casa,Nayón - Tanda,160 m²,USD228.592,Tanda,3,3,En Construcción,75 m²,4,,,,,,Marzo 2022,05-04-2022
Casa,Nayón - Tanda,160 m²,USD231.319,Tanda,3,3,A Estrenar,78 m²,,,,,,,Marzo 2022,05-04-2022
Casa,Nayón - Tanda,165 m²,USD231.319,Tanda,3,3,En Construcción,78 m²,4,,,,,,,05-04-2022
Casa,Tumbaco,209 m²,USD275.000,"Tumbaco, muy cerca a la Ruta Viva",3,3,5,96 m²,4,,,,,,,05-04-2022
Terreno,Tumbaco,,USD1.064.000,"Sector Hilacril, Arenal",,,,7600 m²,,Si,No,,,,,05-04-2022
Departamento,Cumbayá,164 m²,USD307.332,Santa Lucía Alta,3,2,A Estrenar,,4,,,,,,,05-04-2022
Departamento,Cumbayá,110 m²,USD207.000,Sector La Viña,2,2,A Estrenar,66 m²,4,,,,,,,05-04-2022
Terreno,Tumbaco,,USD1.000.000,Sector Hilacril,,,,5000 m²,,Si,Si,,,,,05-04-2022
Departamento,Cumbayá,270 m²,USD380.000,"Cumbayá, Santa Lucía Alta",3,3,5,,5,,,,,,,05-04-2022
Oficina,González Suárez,100 m²,USD160.000,"12 De Octubre, junto el Club La Unión",,2,4,,,,,No,Si,150,,05-04-2022
Casa,Tumbaco,275 m²,USD350.000,Tumbaco,3,3,1,100 m²,5,,,,,,,05-04-2022
Terreno,Cumbayá,,USD498.675,Urbanización La Rioja,,,,1635 m²,,Si,Si,,,,,05-04-2022
Departamento,Quito Tenis,400 m²,USD480.000,"Sarmiento de Gamboa, Quito Tenis",3,3,8,,4,,,,,,,05-04-2022
Terreno,Norte de Manta,,USD105.000,"Ciudad del Mar, Manta",,,,441 m²,,Si,No,,,,,05-04-2022
Quinta,Pifo,500 m²,USD548.000,Pifo,3,3,8,2385 m²,5,,,,,,,05-04-2022
Terreno,Cumbayá,,USD1.345.000,Cumbayá,,,,4944 m²,,No,Si,,,,,05-04-2022
Terreno,Puembo,,USD498.000,PUEMBO,,,,,,No,No,,,,,05-04-2022
Departamento,Tumbaco,159 m²,USD190.000,"Tumbaco, St Joseph",3,3,A Estrenar,,4,,,,,,,05-04-2022
Casa,Cumbayá,162 m²,USD205.000,Cununyacu,3,2,11,50 m²,6,,,,,,,05-04-2022
Casa,Mitad del Mundo,132 m²,USD129.270,Pomasqui,3,2,A Estrenar,,4,,,,,,,05-04-2022
Casa,Tumbaco,210 m²,USD230.000,Tumbaco,3,3,6,200 m²,5,,,,,,,05-04-2022
Departamento,Bellavista,325 m²,USD370.000,Bellavista,3,3,22,,4,,,,,,,05-04-2022
Departamento,Centro de Same,150 m²,USD250.000,Casablanca,3,3,3,,4,,,,,,,05-04-2022
Terreno,Cumbayá,,USD1.651.000,Sector Colegio Spellman,,,,5160 m²,,No,Si,,,,,05-04-2022
Terreno,Norte de Pedernales,,USD140.000,COJIMIES,,,,,,No,No,,,,,05-04-2022
Quinta,Pifo,900 m²,USD1.100.000,PIFO,5,5,20,11200 m²,8,,,,,,,05-04-2022
Departamento,Bellavista,152 m²,USD220.000,Bosmediano,2,2,5,,4,,,,,,,05-04-2022
Terreno,Tumbaco,,USD420.000,Urbanización La Viña,,,,,,No,No,,,,,05-04-2022
Terreno,Cumbayá,,USD462.000,Urbanización La Viña,,,,1400 m²,,No,Si,,,,,05-04-2022
Terreno,Puembo,,USD275.000,PUEMBO,,,,1250 m²,,Si,No,,,,,05-04-2022
Terreno,Puembo,,USD216.000,PUEMBO,,,,1200 m²,,Si,No,,,,,05-04-2022
Oficina,La Carolina,,USD230.000,CAROLINA,,1,5,,,,,No,Si,,,05-04-2022
Casa,Norte de Manta,30 m²,USD140.000,BARBASQUILLO,3,3,A Estrenar,,,,,,,,,05-04-2022
Casa,Tumbaco,258 m²,USD260.000,TUMBACO,3,2,2,,,,,,,,,05-04-2022
Casa,Centro de Ambato,,USD165.000,ambato,3,2,A Estrenar,,,,,,,,,05-04-2022
Terreno,Tumbaco,,USD450.000,TUMBACO,,,,,,No,No,,,,,05-04-2022
Casa,Nayón - Tanda,300 m²,USD224.000,TANDA,3,3,A Estrenar,,,,,,,,,05-04-2022
Departamento,González Suárez,,USD1.100.000,QUITEÑO LIBRE,3,3,A Estrenar,,,,,,,,,05-04-2022
Terreno,Puembo,,USD320.000,Puembo,,,,,,No,No,,,,,05-04-2022
Terreno,Centro de Manta,,USD1.351.993,BARBASQUILLO,,,,,,No,No,,,,,05-04-2022
Terreno,Centro Norte,,USD600.000,SECTOR LA CONDAMINE,,,,,,No,No,,,,,05-04-2022
Terreno,Tumbaco,,USD231.000,Tumbaco,,,,,,Si,No,,,,,05-04-2022
Terreno,Centro de Manta,,USD777.855,Barbasquillo,,,,,,Si,No,,,,,05-04-2022
